n,threshold,cross_time_s,strassen_time_s
1,128,0.000000,0.000001
2,128,0.000000,0.000001
4,128,0.000001,0.000002
8,128,0.000003,0.000004
16,128,0.000019,0.000033
32,128,0.000125,0.000160
64,128,0.001178,0.001342
128,128,0.010771,0.011838
256,128,0.090309,0.075536
512,128,1.799677,0.537373
1024,128,27.378589,3.765623
2048,128,259.680222,26.483062
4096,128,2159.384095,187.403023
