n,threshold,cross_time_s,strassen_time_s
1,1,0.000001,0.000001
2,1,0.000001,0.000007
4,1,0.000001,0.000038
8,1,0.000003,0.000347
16,1,0.000019,0.003433
32,1,0.000306,0.016991
64,1,0.001327,0.095613
128,1,0.011869,0.644297
256,1,0.083766,4.462550
512,1,1.065160,30.114563
1024,1,29.282161,205.471926
2048,1,275.656775,1419.111558
4096,1,2142.205037,10104.893868
