n,threshold,cross_time_s,strassen_time_s
1,256,0.000001,0.000002
2,256,0.000001,0.000002
4,256,0.000001,0.000002
8,256,0.000003,0.000005
16,256,0.000119,0.000039
32,256,0.000508,0.000201
64,256,0.001327,0.001548
128,256,0.010918,0.011494
256,256,0.089987,0.086457
512,256,1.198844,0.610223
1024,256,29.310773,4.595224
2048,256,257.616827,31.587818
4096,256,2198.235757,216.613844
