n,threshold,cross_time_s,strassen_time_s
1,64,0.000001,0.000001
2,64,0.000001,0.000001
4,64,0.000001,0.000002
8,64,0.000003,0.000004
16,64,0.000020,0.000034
32,64,0.000126,0.000168
64,64,0.001467,0.001662
128,64,0.011098,0.011859
256,64,0.092107,0.069350
512,64,1.563336,0.519829
1024,64,31.763780,3.515552
2048,64,273.437733,24.818960
2049,64,238.124105,170.116690
4098,64,2066.229078,1207.479414
