n,threshold,cross_time_s,strassen_time_s
1,128,0.000001,0.000002
101,128,0.005680,0.010823
201,128,0.039891,0.075875
301,128,0.138397,0.534489
401,128,0.373006,0.530818
501,128,1.506575,0.537073
601,128,1.581496,3.786174
701,128,2.775348,3.771609
801,128,4.259109,3.767985
901,128,19.363562,3.773728
1001,128,27.787504,3.784040
1101,128,11.503827,26.568000
1201,128,22.607344,26.639497
