n,threshold,cross_time_s,strassen_time_s
1,512,0.000001,0.000002
2,512,0.000001,0.000001
4,512,0.000001,0.000002
8,512,0.000003,0.000004
16,512,0.000020,0.000034
32,512,0.000130,0.000175
64,512,0.002913,0.001608
128,512,0.011491,0.011330
256,512,0.087921,0.085895
512,512,1.383153,1.073182
1024,512,29.026146,13.740054
2048,512,263.795987,77.082500
4096,512,2201.450280,613.770791
