n,threshold,cross_time_s,strassen_time_s
1,128,0.000000,0.000001
101,128,0.011985,0.010600
201,128,0.041018,0.079443
301,128,0.138648,0.533200
401,128,0.376075,0.534930
501,128,2.323304,0.537035
601,128,1.572856,3.781096
701,128,2.768299,3.757448
801,128,4.348981,3.822741
901,128,19.709752,3.770112
1001,128,28.301538,3.781360
1101,128,11.568504,26.584048
1201,128,17.948551,26.544719
1301,128,27.173293,27.208075
