n,threshold,cross_time_s,strassen_time_s
1,8,0.000001,0.000001
2,8,0.000001,0.000001
4,8,0.000001,0.000002
8,8,0.000003,0.000004
16,8,0.000020,0.000093
32,8,0.000148,0.000777
64,8,0.001148,0.004020
128,8,0.010232,0.024157
256,8,0.084470,0.156675
512,8,1.558238,1.178404
1024,8,29.178634,7.291129
2048,8,247.163764,50.816157
4096,8,2033.863738,354.983539
